Muetsra XRF,Año,Lote,Investigador,Fecha,Operación,Unidad,Material,Cantidad,Peso (gr),Artefacto,Notas Lab.,Num de Caja,Descripcion,Muetsra XRF,Muestra,Mn,Fe,Zn,Ga,Th,Rb,Sr,Y,Zr,Nb,Rh,Mn(log10),Fe(log10),Zn(log10),Ga(log10),Th(log10),Rb(log10),Sr(log10),Y(log10),Zr(log10),Nb(log10)
PATT01,2014,371,,,18,N23,Basalto,1,,Pulidor,Para analisis geoquimico,2,Pulidor,PATT01-Prueba 150seg/300 seg. PATT01.2,Patt01,1646.68,21664.14,23.90,17.24,9.39,68.28,386.09,16.21,108.78,7.00,,3.217,4.336,1.378,1.236,0.972,1.834,2.587,1.210,2.037,0.845
PATT01.2,2014,371,,,18,N23,Basalto,1,,Pulidor,Para analisis geoquimico,2,Pulidor,PATT01-Prueba 150seg/300 seg. PATT01.2,Patt01.2,368.04,19982.75,45.71,13.49,7.01,65.14,423.34,27.86,117.72,6.28,,2.566,4.301,1.660,1.130,0.845,1.814,2.627,1.445,2.071,0.798
PATT02,2014,371,,,18,N23,Basalto,1,,Mano de metate,Para analisis geoquimico,2,Mano de metate cuadrado,PATT02,Patt02,1174.75,32789.10,55.67,18.59,4.83,21.99,826.30,19.20,126.06,6.96,,3.070,4.516,1.746,1.269,0.684,1.342,2.917,1.283,2.101,0.842
PATT02.2,2014,371,,,18,N23,Basalto,1,,Mano de metate,Para analisis geoquimico,2,Mano de metate cuadrado,PATT02.2,Patt02.2,387.52,29190.38,52.45,15.50,8.14,26.25,837.42,17.74,126.24,6.18,,2.588,4.465,1.720,1.190,0.911,1.419,2.923,1.249,2.101,0.791
PATT03,2014,330,,,18,N22,Basalto Vesicular,1,,Alisador,Para analisis geoquimico,1,Alisador con agarradera compleja,"PATT03,PATT03.2",Patt03,986.49,46863.63,78.75,11.45,1.77,18.26,364.45,21.89,159.98,8.06,,2.994,4.671,1.896,1.059,0.248,1.261,2.562,1.340,2.204,0.907
PATT03.2,2014,330,,,18,N22,Basalto Vesicular,1,,Alisador,Para analisis geoquimico,1,Alisador con agarradera compleja,"PATT03,PATT03.2",Patt03.2,1049.14,45236.74,71.62,16.26,2.85,22.58,365.81,24.20,168.38,10.57,,3.021,4.655,1.855,1.211,0.455,1.354,2.563,1.384,2.226,1.024
PATT04,2014,330,,,18,N22,Basalto Vesicular,1,,Alisador,Para analisis geoquimico,1,Pulidor/alisador triangular,"PATT04,PATT04.2",Patt04,688.31,43705.10,73.36,18.60,4.52,34.61,322.53,19.35,111.69,6.73,,2.838,4.641,1.865,1.269,0.655,1.539,2.509,1.287,2.048,0.828
PATT04.2,2014,330,,,18,N22,Basalto Vesicular,1,,Alisador,Para analisis geoquimico,1,Pulidor/alisador triangular,"PATT04,PATT04.2",Patt04.2,910.88,41438.12,64.13,15.53,7.96,42.64,360.93,20.62,125.82,9.15,,2.959,4.617,1.807,1.191,0.901,1.630,2.557,1.314,2.100,0.961
PATT05,2014,402,,,18,N24,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,3,metate-fragmento de metate con soporte,PATT05-PATT05.2,Patt05,471.01,25614.05,60.39,14.50,3.02,28.34,556.57,19.37,105.42,4.75,,2.673,4.408,1.781,1.161,0.481,1.452,2.746,1.287,2.023,0.677
PATT05.2,2014,402,,,18,N24,Basalto,1,,Metate-fragmento de metate,Para analisis geoquimico,3,metate-fragmento de metate con soporte,PATT05-PATT05.2,Patt05.2,601.92,31075.11,70.32,20.16,5.72,35.28,694.70,19.00,142.30,4.60,,2.780,4.492,1.847,1.304,0.757,1.547,2.842,1.279,2.153,0.663
